TPJOJ.2.4                  : Data Processing Version ID
000314 Victoria_1          : Target database id number and name
 -0.690  33.560            : Latitude and longitude (degrees East) of target mid-point
 -0.019  -1.335            : Latitude range of pass traversing target at which data is accepted
120      60                : Satellite pass and revolution number designation
          1                : Reference pass derived from Jason-2 cycle #
          1                : Reference pass tracker selection (ocean=0, ice=1)
Column 1: Calendar year/month/day
Column 2: Hour of day
Column 3: Minute of hour
Column 4: Smoothed target height variation with respect to Jason-2 reference pass level (meters, default=999.99)
Column 5: Smoothed target height variation in EGM2008 datum (meters above mean sea level, default=9999.99)
20000930 22 20      0.27   1135.39
20001010 20 19      0.26   1135.38
20001020 18 17      0.27   1135.39
20001030 16 16      0.28   1135.40
20001109 14 14      0.31   1135.43
20001119 12 13      0.34   1135.46
20001129 10 11      0.37   1135.49
20001209  8 10      0.39   1135.51
20001219  6  9      0.43   1135.55
20001229  4  7      0.46   1135.57
20010108  2  6      0.48   1135.60
20010118  0  4      0.51   1135.63
20010127 22  3      0.54   1135.66
20010206 20  1      0.55   1135.67
20010216 18  0      0.54   1135.66
20010226 15 58      0.53   1135.65
20010308 13 57      0.52   1135.64
20010318 11 55      0.52   1135.64
20010328  9 54      0.52   1135.64
20010407  7 52      0.54   1135.66
20010417  5 51      0.57   1135.69
20010427  3 49      0.60   1135.72
20010507  1 48      0.62   1135.74
20010516 23 46      0.64   1135.76
20010526 21 45      0.64   1135.76
20010605 19 43      0.62   1135.74
20010615 17 42      0.61   1135.73
20010625 15 40      0.59   1135.71
20010705 13 39      0.57   1135.69
20010715 11 38      0.55   1135.67
20010725  9 36      0.54   1135.66
20010804  7 35      0.51   1135.63
20010814  5 33      0.48   1135.60
20010824  3 32      0.46   1135.57
20010903  1 30      0.43   1135.55
20010912 23 29      0.42   1135.54
20010922 21 27      0.41   1135.53
20011002 19 26      0.41   1135.53
20011012 17 24      0.42   1135.54
20011022 15 23      0.43   1135.55
20011101 13 21      0.45   1135.57
20011111 11 20      0.49   1135.60
20011121  9 18      0.50   1135.62
20011201  7 17      0.51   1135.63
20011211  5 15      0.52   1135.64
20011221  3 14      0.52   1135.64
20011231  1 12      0.52   1135.64
20020109 23 11      0.52   1135.64
20020119 21  9      0.52   1135.64
20020129 19  8      0.52   1135.64
20020208 17  6      0.51   1135.63
20020218 15  5      0.50   1135.62
20020228 13  4      0.51   1135.63
20020310 11  2      0.53   1135.65
20020320  9  1      0.56   1135.68
20020330  6 59      0.59   1135.71
20020409  4 58      0.64   1135.76
20020419  2 56      0.70   1135.82
20020429  0 55      0.75   1135.87
20020508 22 53      0.80   1135.92
20020518 20 52      0.85   1135.97
20020528 18 50      0.87   1135.99
20020607 16 49      0.85   1135.96
20020617 14 47      0.81   1135.93
20020627 12 46      0.77   1135.89
20020707 10 44      0.73   1135.84
20020717  8 43      0.68   1135.80
20020727  6 41      0.65   1135.77
20020806  4 40      0.59   1135.70
20020119 21  8      0.58   1135.70
20020129 19  7      0.55   1135.67
20020208 17  5      0.53   1135.65
20020218 15  4      0.51   1135.62
20020228 13  2      0.51   1135.63
20020310 11  1      0.54   1135.66
20020320  8 59      0.56   1135.68
20020330  6 58      0.60   1135.72
20020409  4 56      0.65   1135.77
20020419  2 55      0.70   1135.82
20020428  0 54      0.75   1135.87
20020508 22 52      0.80   1135.92
20020518 20 51      0.84   1135.96
20020528 18 49      0.87   1135.99
20020607 16 48      0.85   1135.97
20020617 14 46      0.82   1135.94
20020627 12 45      0.78   1135.90
20020707 10 43      0.72   1135.84
20020717  8 42      0.68   1135.80
20020727  6 40      0.64   1135.76
20020806  4 39      0.60   1135.72
20020816  2 37      0.56   1135.68
20020825  0 36      0.53   1135.65
20020904 22 34      0.48   1135.60
20020914 20 33      0.45   1135.57
20020924 18 31      0.43   1135.55
20021004 16 30      0.42   1135.54
20021014 14 28      0.40   1135.52
20021024 12 27      0.41   1135.53
20021103 10 26      0.42   1135.54
20021113  8 24      0.44   1135.56
20021123  6 23      0.45   1135.57
20021203  4 21      0.47   1135.59
20021213  2 20      0.50   1135.62
20021222  0 18      0.53   1135.65
20030101 22 17      0.55   1135.67
20030111 20 15      0.57   1135.69
20030121 18 14      0.58   1135.70
20030131 16 12      0.58   1135.70
20030210 14 11      0.55   1135.67
20030220 12  9      0.51   1135.63
20030302 10  8      0.48   1135.60
20030312  8  6      0.47   1135.59
20030322  6  5      0.47   1135.59
20030401  4  3    999.99   9999.99
20030411  2  2    999.99   9999.99
20030420  0  0      0.50   1135.62
20030430 21 59      0.55   1135.67
20030510 19 58      0.60   1135.72
20030520 17 56      0.64   1135.76
20030530 15 55      0.67   1135.79
20030609 13 53      0.67   1135.79
20030619 11 52      0.66   1135.78
20030629  9 50      0.64   1135.76
20030709  7 49      0.61   1135.73
20030719  5 47      0.57   1135.69
20030729  3 46      0.54   1135.66
20030808  1 44      0.51   1135.63
20030817 23 43      0.49   1135.61
20030827 21 41      0.47   1135.59
20030906 19 40      0.46   1135.58
20030916 17 38      0.44   1135.56
20030926 15 37      0.43   1135.55
20031006 13 35      0.41   1135.53
