تعديل,التاريخ,البحيرة,المنسوب  (م ),المساحة  (كم2 ),السعة التخزينية  (مليار م2 )
,2020-02-18 00:00:00.000,بحيرة منخفض توشكي 3,145,124,1.4
,2020-02-18 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2020-03-14 00:00:00.000,بحيرة منخفض توشكي 1,156,485,8.9
,2020-03-14 00:00:00.000,بحيرة منخفض توشكي 2,139,2.4,1.6
,2020-03-14 00:00:00.000,بحيرة منخفض توشكي 3,146,132,1.6
,2020-03-14 00:00:00.000,بحيرة منخفض توشكي 4,99,60.7,.40
,2020-04-23 00:00:00.000,بحيرة منخفض توشكي 1,155,472,8.2
,2020-04-23 00:00:00.000,بحيرة منخفض توشكي 2,139,2.4,1.6
,2020-04-23 00:00:00.000,بحيرة منخفض توشكي 3,147,140,1.7
,2020-04-23 00:00:00.000,بحيرة منخفض توشكي 4,98,55.7,.30
,2020-05-18 00:00:00.000,بحيرة منخفض توشكي 1,155,472,8.2
,2020-05-18 00:00:00.000,بحيرة منخفض توشكي 2,139,2.4,1.6
,2020-05-18 00:00:00.000,بحيرة منخفض توشكي 3,147,140,1.7
,2020-05-18 00:00:00.000,بحيرة منخفض توشكي 4,98,55.7,.30
,2020-06-27 00:00:00.000,بحيرة منخفض توشكي 1,155,472,8.2
,2020-06-27 00:00:00.000,بحيرة منخفض توشكي 2,139,204,1.6
,2020-06-27 00:00:00.000,بحيرة منخفض توشكي 3,147,140,1.7
,2020-06-27 00:00:00.000,بحيرة منخفض توشكي 4,98,55.7,.30
,2020-07-12 00:00:00.000,بحيرة منخفض توشكي 1,155,472,8.2
,2020-07-12 00:00:00.000,بحيرة منخفض توشكي 2,139,2.4,1.6
,2020-07-12 00:00:00.000,بحيرة منخفض توشكي 3,148,149,1.9
,2020-07-12 00:00:00.000,بحيرة منخفض توشكي 4,98,55.7,.30
,2020-08-21 00:00:00.000,بحيرة منخفض توشكي 1,155,472,8.2
,2020-08-21 00:00:00.000,بحيرة منخفض توشكي 2,140,220,1.8
,2020-08-21 00:00:00.000,بحيرة منخفض توشكي 3,149,180,2.1
,2020-08-21 00:00:00.000,بحيرة منخفض توشكي 4,98,55.7,.30
,2020-09-15 00:00:00.000,بحيرة منخفض توشكي 1,157,500,9.3
,2020-09-15 00:00:00.000,بحيرة منخفض توشكي 2,140,220,1.8
,2020-09-15 00:00:00.000,بحيرة منخفض توشكي 3,149,180,2.1
,2020-09-15 00:00:00.000,بحيرة منخفض توشكي 4,98,55.7,.30
,2020-10-10 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-10-10 00:00:00.000,بحيرة منخفض توشكي 2,145,328,3.3
,2020-10-10 00:00:00.000,بحيرة منخفض توشكي 3,154,200,3.1
,2020-10-10 00:00:00.000,بحيرة منخفض توشكي 4,98,60.7,.36
,2020-10-15 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-10-15 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-10-15 00:00:00.000,بحيرة منخفض توشكي 3,157,268,4.1
,2020-10-15 00:00:00.000,بحيرة منخفض توشكي 4,101,84.5,.50
,2020-10-20 00:00:00.000,بحيرة منخفض توشكي 1,160,600,11.2
,2020-10-20 00:00:00.000,بحيرة منخفض توشكي 2,146,334,3.6
,2020-10-20 00:00:00.000,بحيرة منخفض توشكي 3,159,320,4.8
,2020-10-20 00:00:00.000,بحيرة منخفض توشكي 4,108,134,1.3
